 ! Swift/XRT detailed lightcurve of trigger: 1088940, name: GRB 211211A
 ! T0 for this burst is Swift MET=660921027.84 s, = 2021 Dec 11 at 13:09:59.602 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: GRB-like (counts)
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
165.5191	0.4547	-0.4651	3.025933e+02	3.993704e+01	-3.858716e+01	2.415955e+00	1.207977e+00	1.000000
166.4411	0.5130	-0.4674	2.863524e+02	3.807951e+01	-3.613815e+01	1.700132e+00	9.815719e-01	1.000000
167.610	0.574	-0.656	2.357161e+02	3.056696e+01	-2.888880e+01	4.518961e-01	4.518961e-01	1.000000
168.736	0.451	-0.552	2.821347e+02	3.735631e+01	-3.521209e+01	1.107312e+00	7.829876e-01	1.000000
169.5680	0.4711	-0.3811	3.322081e+02	4.344503e+01	-4.145994e+01	1.303838e+00	9.219526e-01	1.000000
170.602	0.627	-0.563	2.398590e+02	3.076204e+01	-2.961714e+01	4.667592e-01	4.667592e-01	1.000000
171.790	0.673	-0.560	2.053200e+02	2.759401e+01	-2.591618e+01	1.371791e+00	7.920041e-01	1.000000
173.017	0.454	-0.554	2.074153e+02	2.718915e+01	-2.540493e+01	0.000000e+00	0.000000e+00	1.000000
174.141	0.736	-0.670	1.424208e+02	1.977939e+01	-1.842494e+01	2.064180e+00	9.231295e-01	1.000000
175.427	0.524	-0.550	1.879682e+02	2.581197e+01	-2.404834e+01	2.159906e+00	1.079953e+00	1.000000
176.606	0.516	-0.655	1.767548e+02	2.378675e+01	-2.216772e+01	1.486962e+00	8.584976e-01	1.000000
177.712	0.603	-0.591	1.707136e+02	2.315263e+01	-2.161157e+01	1.458146e+00	8.418607e-01	1.000000
178.8143	0.4176	-0.4987	2.263779e+02	3.017987e+01	-2.799812e+01	6.332723e-01	6.332723e-01	1.000000
179.7472	0.4169	-0.5153	2.244370e+02	2.970156e+01	-2.743467e+01	0.000000e+00	0.000000e+00	1.000000
180.832	0.584	-0.668	1.641614e+02	2.177525e+01	-2.054814e+01	9.265489e-01	6.551690e-01	1.000000
182.100	0.624	-0.683	1.544628e+02	2.109229e+01	-1.976489e+01	1.774901e+00	8.874505e-01	1.000000
183.561	0.866	-0.837	1.209889e+02	1.644479e+01	-1.529201e+01	1.022376e+00	5.902691e-01	1.000000
185.159	0.699	-0.732	1.459099e+02	1.938408e+01	-1.828560e+01	8.112985e-01	5.736747e-01	1.000000
186.389	0.614	-0.532	1.773456e+02	2.420618e+01	-2.298611e+01	2.532172e+00	1.132422e+00	1.000000
187.570	0.614	-0.567	1.782285e+02	2.310119e+01	-2.205342e+01	4.911705e-01	4.911705e-01	1.000000
188.973	0.770	-0.789	1.350960e+02	1.776404e+01	-1.674321e+01	3.723039e-01	3.723039e-01	1.000000
190.660	0.842	-0.917	1.186166e+02	1.538734e+01	-1.483106e+01	6.595405e-01	4.663656e-01	1.000000
192.268	0.828	-0.766	1.297738e+02	1.710307e+01	-1.642094e+01	1.091989e+00	6.304604e-01	1.000000
193.902	0.851	-0.805	1.240695e+02	1.634175e+01	-1.569681e+01	1.050925e+00	6.067517e-01	1.000000
195.744	1.008	-0.991	1.030875e+02	1.349099e+01	-1.289905e+01	5.803206e-01	4.103486e-01	1.000000
197.474	0.725	-0.721	9.364415e+01	1.518259e+01	-1.470077e+01	1.203487e+00	6.948333e-01	1.000000
198.834	0.906	-0.635	9.721847e+01	1.475404e+01	-1.433359e+01	7.532004e-01	5.325931e-01	1.000000
200.523	0.665	-0.783	9.478230e+01	1.491958e+01	-1.461660e+01	8.013275e-01	5.666241e-01	1.000000
201.800	0.407	-0.612	1.406589e+02	1.741494e+01	-1.725434e+01	5.691998e-01	5.691998e-01	0.999965
202.5527	0.3239	-0.3451	1.113526e+02	1.378008e+01	-1.378256e+01	9.596789e-01	9.596789e-01	1.000000
203.2135	0.3070	-0.3370	1.185227e+02	1.437548e+01	-1.437809e+01	0.000000e+00	0.000000e+00	1.000000
203.8668	0.3423	-0.3462	9.840274e+01	1.277821e+01	-1.278035e+01	9.323759e-01	9.323759e-01	1.000000
204.5011	0.2898	-0.2920	1.280353e+02	1.584458e+01	-1.584743e+01	1.103457e+00	1.103457e+00	1.000000
205.1574	0.3238	-0.3665	1.089518e+02	1.331299e+01	-1.331549e+01	0.000000e+00	0.000000e+00	1.000000
205.8626	0.3053	-0.3814	1.074198e+02	1.346432e+01	-1.346682e+01	1.869657e+00	1.322047e+00	1.000000
206.4005	0.3101	-0.2325	9.722738e+01	1.418403e+01	-1.418602e+01	0.000000e+00	0.000000e+00	1.000000
206.9468	0.3189	-0.2362	8.840517e+01	1.369116e+01	-1.369293e+01	2.313053e+00	1.635576e+00	1.000000
207.5595	0.3911	-0.2939	1.098009e+02	1.341690e+01	-1.341954e+01	0.000000e+00	0.000000e+00	1.000000
208.2188	0.2389	-0.2682	9.962471e+01	1.485288e+01	-1.485467e+01	0.000000e+00	0.000000e+00	1.000000
208.7352	0.3132	-0.2775	9.882119e+01	1.370607e+01	-1.370815e+01	0.000000e+00	0.000000e+00	1.000000
209.3919	0.3361	-0.3435	1.106610e+02	1.352219e+01	-1.352500e+01	0.000000e+00	0.000000e+00	1.000000
210.0056	0.2935	-0.2776	8.718741e+01	1.324750e+01	-1.324947e+01	1.124088e+00	1.124088e+00	1.000000
210.5533	0.3187	-0.2542	9.349748e+01	1.383327e+01	-1.383541e+01	2.241219e+00	1.584781e+00	1.000000
211.1987	0.3209	-0.3267	1.161353e+02	1.419070e+01	-1.419331e+01	0.000000e+00	0.000000e+00	1.000000
211.8198	0.2317	-0.3002	9.360339e+01	1.422176e+01	-1.422340e+01	1.206808e+00	1.206808e+00	1.000000
212.3156	0.2536	-0.2641	9.973697e+01	1.470717e+01	-1.470901e+01	0.000000e+00	0.000000e+00	1.000000
212.8936	0.3321	-0.3244	1.145465e+02	1.399656e+01	-1.399913e+01	0.000000e+00	0.000000e+00	1.000000
213.5255	0.3087	-0.2997	1.235515e+02	1.509664e+01	-1.509920e+01	0.000000e+00	0.000000e+00	1.000000
214.1542	0.3437	-0.3199	1.132830e+02	1.384200e+01	-1.384441e+01	0.000000e+00	0.000000e+00	1.000000
214.7394	0.3029	-0.2416	9.274501e+01	1.382743e+01	-1.382928e+01	0.000000e+00	0.000000e+00	1.000000
215.3478	0.3385	-0.3056	1.167253e+02	1.426296e+01	-1.426571e+01	0.000000e+00	0.000000e+00	1.000000
215.9629	0.3977	-0.2766	1.104214e+02	1.366461e+01	-1.366690e+01	9.520735e-01	9.520735e-01	1.000000
216.7475	0.2803	-0.3869	7.460025e+01	1.133440e+01	-1.133564e+01	9.622299e-01	9.622299e-01	1.000000
217.3956	0.2264	-0.3678	8.375766e+01	1.272585e+01	-1.272733e+01	1.080347e+00	1.080347e+00	1.000000
217.8977	0.2491	-0.2757	9.620328e+01	1.434296e+01	-1.434482e+01	0.000000e+00	0.000000e+00	1.000000
218.4794	0.3809	-0.3325	1.053730e+02	1.287577e+01	-1.287824e+01	0.000000e+00	0.000000e+00	1.000000
219.1837	0.3260	-0.3234	9.503173e+01	1.281608e+01	-1.281812e+01	0.000000e+00	0.000000e+00	1.000000
219.8343	0.3550	-0.3246	1.106142e+02	1.351609e+01	-1.351859e+01	0.000000e+00	0.000000e+00	1.000000
220.4653	0.2649	-0.2760	9.335503e+01	1.391817e+01	-1.391986e+01	0.000000e+00	0.000000e+00	1.000000
221.0091	0.2566	-0.2789	9.294051e+01	1.412095e+01	-1.412251e+01	1.198791e+00	1.198791e+00	1.000000
221.5388	0.2802	-0.2732	8.865011e+01	1.372869e+01	-1.373013e+01	2.320487e+00	1.640832e+00	1.000000
222.1156	0.2727	-0.2966	8.742218e+01	1.328253e+01	-1.328400e+01	1.127613e+00	1.127613e+00	1.000000
222.6455	0.2837	-0.2572	9.335501e+01	1.391817e+01	-1.391986e+01	0.000000e+00	0.000000e+00	1.000000
223.2168	0.2336	-0.2877	9.763059e+01	1.466560e+01	-1.466743e+01	1.231523e+00	1.231523e+00	1.000000
223.6810	0.2889	-0.2306	9.686037e+01	1.471660e+01	-1.471828e+01	1.235735e+00	1.235735e+00	1.000000
224.3947	0.4008	-0.4247	6.294781e+01	9.384677e+00	-9.385719e+00	0.000000e+00	0.000000e+00	1.000000
225.1304	0.3696	-0.3349	7.375695e+01	1.099617e+01	-1.099739e+01	0.000000e+00	0.000000e+00	1.000000
225.9278	0.4938	-0.4278	5.558117e+01	8.444735e+00	-8.445658e+00	6.965945e-01	6.965945e-01	1.000000
226.7648	0.3525	-0.3432	7.470004e+01	1.113678e+01	-1.113802e+01	0.000000e+00	0.000000e+00	1.000000
227.5663	0.3373	-0.4491	6.513817e+01	9.896780e+00	-9.897861e+00	8.163716e-01	8.163716e-01	1.000000
228.2300	0.3141	-0.3263	8.113446e+01	1.209625e+01	-1.209774e+01	0.000000e+00	0.000000e+00	1.000000
228.9839	0.4515	-0.4398	5.746593e+01	8.731037e+00	-8.731941e+00	7.202160e-01	7.202160e-01	1.000000
229.7107	0.2870	-0.2752	9.242788e+01	1.377976e+01	-1.378129e+01	0.000000e+00	0.000000e+00	1.000000
230.4382	0.3120	-0.4405	6.806557e+01	1.034165e+01	-1.034285e+01	8.530604e-01	8.530604e-01	1.000000
231.2245	0.4758	-0.4742	5.469591e+01	8.154518e+00	-8.155495e+00	0.000000e+00	0.000000e+00	1.000000
232.0660	0.3513	-0.3657	7.040932e+01	1.090400e+01	-1.090527e+01	1.790786e+00	1.266277e+00	1.000000
232.967	0.470	-0.550	5.024615e+01	7.634414e+00	-7.635452e+00	6.297311e-01	6.297311e-01	1.000000
233.8074	0.3783	-0.3707	6.937711e+01	1.034345e+01	-1.034480e+01	0.000000e+00	0.000000e+00	1.000000
234.6466	0.4056	-0.4608	5.858228e+01	8.733939e+00	-8.734991e+00	0.000000e+00	0.000000e+00	1.000000
235.4075	0.3973	-0.3553	6.513369e+01	1.008700e+01	-1.008819e+01	1.706063e+00	1.206369e+00	1.000000
236.313	0.502	-0.508	4.922062e+01	7.478732e+00	-7.479855e+00	6.352945e-01	6.352945e-01	1.000000
